date,Length_MM,Frequency
2016/10/29,55,1
2016/10/29,80,3
2016/10/29,85,9.24125
2016/10/29,90,36.58806
2016/10/29,95,68.65354
2016/10/29,100,231.44753
2016/10/29,105,210.42801
2016/10/29,110,326.78603
2016/10/29,115,283.35285
2016/10/29,120,281.20801
2016/10/29,125,234.87928
2016/10/29,130,240.77762
2016/10/29,135,218.36395
2016/10/29,140,195.62856
2016/10/29,145,201.95586
2016/10/29,150,200.66895
2016/10/29,155,170.74832
2016/10/29,160,142.43632
2016/10/29,165,88.06442
2016/10/29,170,65.32903
2016/10/29,175,44.20227
2016/10/29,180,21.89585
2016/10/29,185,8.81228
2016/10/29,190,2
2016/10/29,200,1
2016/10/29,215,2
2017/5/15,28,5.423728814
2017/5/15,34,12.76836158
2017/5/15,39,16.83615819
2017/5/15,44,6.892655367
2017/5/15,49,1.412429379
2017/5/15,89,0.790960452
2017/5/15,94,2.598870056
2017/5/15,99,5.988700565
2017/5/15,104,7.570621469
2017/5/15,109,10.05649718
2017/5/15,114,8.02259887
2017/5/15,119,5.423728814
2017/5/15,124,4.293785311
2017/5/15,129,2.485875706
2017/5/15,134,2.146892655
2017/5/15,139,1.355932203
2017/5/15,144,0.903954802
2017/5/15,149,0.903954802
2017/8/15,55,0.903954802
2017/8/15,60,2.259887006
2017/8/15,65,2.598870056
2017/8/15,70,5.875706215
2017/8/15,75,10.16949153
2017/8/15,80,12.99435028
2017/8/15,85,15.76271186
2017/8/15,90,14.18079096
2017/8/15,95,12.99435028
2017/8/15,100,8.418079096
2017/8/15,105,5.310734463
2017/8/15,110,2.711864407
2017/8/15,115,1.807909605
2017/8/15,120,0.790960452
2017/8/15,125,0.338983051
2017/11/15,75,0.903954802
2017/11/15,80,3.050847458
2017/11/15,85,6.553672316
2017/11/15,90,10.39548023
2017/11/15,95,10.50847458
2017/11/15,100,12.54237288
2017/11/15,105,13.89830508
2017/11/15,110,14.01129944
2017/11/15,115,10.28248588
2017/11/15,120,5.988700565
2017/11/15,125,2.485875706
2017/11/15,130,2.768361582
2017/11/15,135,1.355932203
2017/11/15,140,1.016949153
2017/11/15,145,0.903954802
2018/2/15,71,1.355932203
2018/2/15,76,3.502824859
2018/2/15,81,5.875706215
2018/2/15,86,12.31638418
2018/2/15,91,15.81920904
2018/2/15,96,18.53107345
2018/2/15,101,11.29943503
2018/2/15,106,10.73446328
2018/2/15,111,5.084745763
2018/2/15,116,3.276836158
2018/2/15,121,3.163841808
2018/2/15,126,2.711864407
2018/2/15,131,1.129943503
2018/2/15,136,1.129943503
2018/2/15,151,1.355932203
2018/2/15,161,0.564971751
